Authors,Title,Year,DOI,Link,Author Keywords
"Alayrangues J., Torrecillos F., Jahani A., Malfait N.","Error-related modulations of the sensorimotor post-movement and foreperiod beta-band activities arise from distinct neural substrates and do not reflect efferent signal processing",2019,"10.1016/j.neuroimage.2018.09.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053080604&doi=10.1016%2fj.neuroimage.2018.09.013&partnerID=40&md5=34e0fa22f74668b7003fc0bbfd0b8636","Beta oscillations; EEG; Error-processing; Interlimb coordination; Sensorimotor adaptation"
"Ballard K.J., Halaki M., Sowman P., Kha A., Daliri A., Robin D.A., Tourville J.A., Guenther F.H.","An investigation of compensation and adaptation to auditory perturbations in individuals with acquired apraxia of speech",2018,"10.3389/fnhum.2018.00510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059034062&doi=10.3389%2ffnhum.2018.00510&partnerID=40&md5=80fe141d0f3b60ce74aae8903a152140","Apraxia of speech; Auditory perturbation; F0; Feedback; Formant frequency; Motor control; Pitch; Speech"
"Suzuki T., Suzuki M., Hamaguchi T.","Corticospinal excitability is modulated by temporal feedback gaps",2018,"10.1097/WNR.0000000000001148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056253425&doi=10.1097%2fWNR.0000000000001148&partnerID=40&md5=6ea72d027cf71b583cd2984ac6c4855c","corticospinal excitability; sensorimotor adaptation; transcranial magnetic stimulation; virtual reality"
"Kim H.E., Morehead J.R., Parvin D.E., Moazzezi R., Ivry R.B.","Invariant errors reveal limitations in motor correction rather than constraints on error sensitivity",2018,"10.1038/s42003-018-0021-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065956790&doi=10.1038%2fs42003-018-0021-y&partnerID=40&md5=53e504977a0b2f312730f31b298ee1e3",
"Leow L.-A., Marinovic W., de Rugy A., Carroll T.J.","Task errors contribute to implicit aftereffects in sensorimotor adaptation",2018,"10.1111/ejn.14213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056344561&doi=10.1111%2fejn.14213&partnerID=40&md5=07c99c3dae0b7a92faa45c2fbc7dfc53","implicit learning; reward prediction errors; sensory prediction errors; task errors; visuomotor rotation"
"Schmitz G., Dierking M., Guenther A.","Correlations between executive functions and adaptation to incrementally increasing sensorimotor discordances",2018,"10.1007/s00221-018-5388-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054748785&doi=10.1007%2fs00221-018-5388-y&partnerID=40&md5=fe8d46b33b3fe4f85c5fe04d604fc390","Directional selectivity; Executive functions; Modularity; Motor control; Sensorimotor adaptation"
"Ruitenberg M.F.L., Koppelmans V., De Dios Y.E., Gadd N.E., Wood S.J., Reuter-Lorenz P.A., Kofman I., Bloomberg J.J., Mulavara A.P., Seidler R.D.","Neural correlates of multi-day learning and savings in sensorimotor adaptation",2018,"10.1038/s41598-018-32689-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053924702&doi=10.1038%2fs41598-018-32689-4&partnerID=40&md5=1f5d66dc43679443a534637d0009627d",
"Sadnicka A., Stevenson A., Bhatia K.P., Rothwell J.C., Edwards M.J., Galea J.M.","High motor variability in DYT1 dystonia is associated with impaired visuomotor adaptation",2018,"10.1038/s41598-018-21545-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043246513&doi=10.1038%2fs41598-018-21545-0&partnerID=40&md5=a763c59d2156679d5a21af9487f9f0ed",
"Sato M., Shiller D.M.","Auditory prediction during speaking and listening",2018,"10.1016/j.bandl.2018.01.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041603637&doi=10.1016%2fj.bandl.2018.01.008&partnerID=40&md5=408f07ed6b8efd37368c671dd30a51f9","Auditory feedback; Auditory speech perception; EEG; Sensorimotor adaptation; Speech motor control; Speech-induced suppression"
"Demopoulos C., Kothare H., Mizuiri D., Henderson-Sabes J., Fregeau B., Tjernagel J., Houde J.F., Sherr E.H., Nagarajan S.S.","Abnormal speech motor control in individuals with 16p11.2 deletions",2018,"10.1038/s41598-018-19751-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040811207&doi=10.1038%2fs41598-018-19751-x&partnerID=40&md5=550c976eda931e19d85ab4d0c6072eca",
